"id","name","street","city","data","message","created_when","latitude","longitude"
"514","BAWAG PSK Filiale/Post","Leopoldstraße  21","Klosterneuburg","[""""]",,"2017-09-29 09:29:42","48.3028672","16.3276801"
"531","Forster Pia Friseur","Hofkirchnergasse 11","Klosterneuburg","[""3*Haarprodukte""]",,"2017-09-29 09:50:11","48.3075189","16.3226439"
"367","Wittmann Hörgeräte","Hofkirchnerg. 17","Klosterneuburg","[""Viel""]",,"2017-09-29 10:01:36","48.2925299","16.2984848"
"471","TEMPER FRANZ Bad- und Heizungsprofi","Albrechtstr. 16","Klosterneuburg","[""Brauseschlauch""]",,"2017-09-29 10:10:19","48.3086594","16.3219741"
"3281","Stiftsmuseum","Marzellingasse 3-5","Klosterneuburg","[""Gutschein wein""]",,"2017-09-29 10:38:21","48.3047653","16.3234540"
"905","HARTL ÖLE","Stadtpl. 15","Klosterneuburg","[""1\u00f6lbox""]",,"2017-09-29 10:41:03","48.3099036","16.3235423"
"368","Zimmermann Tischkultur","Stadtplatz 19","Klosterneuburg","[""10*15 Gutschein""]",,"2017-09-29 10:44:05","48.3100848","16.3243836"
"368","Zimmermann Tischkultur","Stadtplatz 19","Klosterneuburg","[""15\u20ac*10""]",,"2017-09-29 10:48:21","48.3100848","16.3243836"
"382","fairkleidet","Leopoldstraße 14/1","Klosterneuburg","[""Gutschein""]",,"2017-09-29 10:54:52","48.3037910","16.3255927"
"258","Stiftscafe","Rathauspl. 20","Klosterneuburg","[""Gutschein""]",,"2017-09-29 11:20:01","48.3060832","16.3258293"
"177","zwölf deli","Stadtplatz 34","Klosterneuburg","[""5 gutscheine""]",,"2017-09-29 11:26:16","48.3090040","16.3235035"
"2369","Apotheke zum heiligen Leopold und Drogerie zur Muschel Mag. pharm. Julian Kostiuk KG.","Stadtpl. 8","Klosterneuburg","[""Gescenksackerl""]",,"2017-09-29 11:28:00","48.3091538","16.3229396"
"376","Benetton","Niedermarkt 19","Klosterneuburg","[""3 Geschenksackerl""]","Bestätigung bringen","2017-09-29 11:33:38","48.3095515","16.3253712"
